,Prices,title,location,Model,Marque,Kilometrage,Etat,Annee_Modele,Premiere_main,Nombre_de_portes,Origine,Type_de_Carburant,boite_de_vitesse
155,,Citroen C-Elysée Diesel Manuelle 2019 à Agadir,"Cité Adrar, Agadir",Q4 e-tron,Audi,0 - 4 999,Excellent,2025,Oui,5,Importée neuve,Electrique,Automatique
156,,Audi Q4 e-tron Electrique Automatique 2025,"Oulfa, Casablanca",Range Rover Sport,Land Rover,110 000 - 119 999,Excellent,2016,Non,5,Importée neuve,Diesel,Automatique
157,398 000 DH,RANGE ROVER SPORT AUTOBIOGRAPHY STARTECH TTOPTIONS,"Centre, Tanger",208,Peugeot,5 000 - 9 999,Excellent,2024,Oui,5,WW au Maroc,Essence,Manuelle
158,168 000 DH,Peugeot 208 Essence Manuelle 2024 à Marrakech,"Hay Al Hassani, Marrakech",Corolla,Toyota,70 000 - 74 999,Neuf,2021,Non,5,WW au Maroc,Hybride,Automatique
159,220 000 DH,Toyota Corolla Hybride Automatique 2021 à Tétouan,"Touabel, Tétouan",Clio,Renault,120 000 - 129 999,Excellent,2019,Non,5,WW au Maroc,Diesel,Manuelle
160,118 000 DH,Renault Clio 4 modèle 2019,"Massira 3, Marrakech",Classe E,Mercedes-Benz,0 - 4 999,Neuf,2025,,5,Importée neuve,Hybride,Automatique
161,,Mercedes-Benz Classe E300de amg,"Aïn Chock, Casablanca",Duster,Dacia,30 000 - 34 999,Neuf,2022,Oui,5,WW au Maroc,Diesel,Manuelle
162,209 000 DH,Dacia Duster Diesel Manuelle 2022 à Salé,"Tabriquet, Salé",C3,Citroen,120 000 - 129 999,Très bon,2019,Oui,5,WW au Maroc,Diesel,Manuelle
163,123 000 DH,c3 model 2019,"Oulfa, Casablanca",Fiorino,Fiat,85 000 - 89 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Manuelle
164,,Audi A3 Sportback 35 TDI 2024 a Rabat,"Hay Al Farah, Rabat",Golf 8,Volkswagen,120 000 - 129 999,Très bon,2022,Oui,5,WW au Maroc,Diesel,Automatique
165,307 000 DH,Volkswagen Golf 8 Diesel Automatique 2022,"Hay Al Hassani, Marrakech",Megane,Renault,100 000 - 109 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Automatique
166,225 000 DH,Renault Megane Diesel Automatique 2020 à Tanger,"Bel Air - Val fleuri, Tanger",i10,Hyundai,170 000 - 179 999,Neuf,2017,Oui,5,WW au Maroc,Essence,Manuelle
167,,Hyundai i10 Modèle 2017,"Maarif, Casablanca",Classe CLA,Mercedes-Benz,0 - 4 999,Neuf,2024,Oui,5,Importée neuve,Diesel,Automatique
168,,Mercedes Benz CLA220d amg line plus 00km,"Centre, Kénitra",V40,Volvo,140 000 - 149 999,Neuf,2019,Non,5,WW au Maroc,Diesel,Automatique
169,175 000 DH,volvo v40 etat neuf,"Hay Riad, Rabat",Stelvio,Alfa Romeo,95 000 - 99 999,Excellent,2018,Oui,5,WW au Maroc,Essence,Automatique
170,240 000 DH,alfa Stelio,"Hay Targa, Marrakech",Model 3,Tesla,150 000 - 159 999,Excellent,2021,Oui,5,Dédouanée,Electrique,Automatique
171,380 000 DH,Tesla Model 3 Electrique BVA 2021 Dédouané 2025,"Californie, Casablanca",Tiguan,Volkswagen,140 000 - 149 999,Excellent,2019,Non,5,WW au Maroc,Diesel,Automatique
172,,Volkswagen tiguan,"Branes 1, Tanger",Daily,Iveco,55 000 - 59 999,Très bon,2019,Oui,3,WW au Maroc,Diesel,Manuelle
173,,Iveco Bache,"Safir, Tétouan",Civic,Honda,130 000 - 139 999,Bon,2018,Oui,5,WW au Maroc,Essence,Automatique
174,158 000 DH,HONDA CIVIC Diesel Automatique 2018 à Casablanca.,"Autre secteur, Casablanca",Urus,Lamborghini,0 - 4 999,Excellent,2024,,5,Importée neuve,Essence,Automatique
175,,Lamborghini Urus Capsule 2024,"Maarif, Casablanca",XE,Jaguar,140 000 - 149 999,Excellent,2016,Oui,5,WW au Maroc,Diesel,Automatique
176,235 000 DH,Jaguar XE R sport fin 2016 1ère main,"Anfa, Casablanca",Renegade,Jeep,80 000 - 84 999,Excellent,2017,Oui,5,WW au Maroc,Diesel,Manuelle
177,,jeep renegade2017,"Ain Sebaa, Casablanca",Wrangler,Jeep,200 000 - 249 999,Excellent,2016,Oui,5,WW au Maroc,Diesel,Automatique
178,250 000 DH,Jeep Wrangler Sahara Unlimited,"Californie, Casablanca",Tiguan,Volkswagen,120 000 - 129 999,Neuf,2021,Oui,5,Dédouanée,Diesel,Automatique
179,465 000 DH,volkswagen tiguan Rline,"Hay Riad, Rabat",Ateca,Seat,150 000 - 159 999,Excellent,2019,,5,Dédouanée,Diesel,Automatique
180,,Seat Ateca Diesel Automatique 2019 dédouanée 2025,"Toute la ville, Settat",Classe C,Mercedes-Benz,45 000 - 49 999,Excellent,2022,Oui,5,Dédouanée,Diesel,Automatique
181,,1ÈRE MAIN nouvelle C 220D très propre 50.000km,"Californie, Tanger",Classe GLC,Mercedes-Benz,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Hybride,Automatique
182,,Mercedes benz GLC300de amg line plus,"Autre secteur, Rabat",Megane,Renault,90 000 - 94 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Automatique
183,,Renault megane 4,"Al Qods, Casablanca",Q5,Audi,60 000 - 64 999,Excellent,2022,Oui,5,Importée neuve,Diesel,Automatique
184,,AUDI SQ5 COUPÉ SPORTBACK 341cv DIESEL FULL 2022,"Centre, Tanger",Ducato,Fiat,50 000 - 54 999,Bon,2020,Oui,3,WW au Maroc,Diesel,Manuelle
185,205 000 DH,Fiat Ducato Diesel Manuelle 2020 à Tétouan,"Safir, Tétouan",220,Mercedes-Benz,0 - 4 999,Excellent,2019,,,Dédouanée,Diesel,Automatique
186,,Porsche - Cayenne 2022 dédouanée 2025,"Guéliz, Marrakech",Octavia,Skoda,120 000 - 129 999,Excellent,2021,,5,WW au Maroc,Diesel,Automatique
187,,Skoda Octavia Diesel Automatique 2021 à Marrakech,"Centre Ville, Marrakech",Classe C,Mercedes-Benz,200 000 - 249 999,Excellent,2015,,5,Dédouanée,Diesel,Automatique
188,,Mercedes-Benz Classe C Diesel Automatique 2015,"Centre Ville, Marrakech",220,Mercedes-Benz,200 000 - 249 999,Excellent,2015,Non,5,WW au Maroc,Diesel,Automatique
189,,C220 mois 11. 2015,"Bab Sebta, Salé",Master,Renault,50 000 - 54 999,Très bon,2023,Non,5,WW au Maroc,Diesel,Manuelle
190,,Fiat Ducato Manuel,"Medina, Tétouan",Fiesta,Ford,75 000 - 79 999,Excellent,2018,Oui,5,WW au Maroc,Diesel,Manuelle
191,,Ford Fiesta Diesel Manuelle 2018 à Fès,"Route Ain Chkaf, Fès",Megane,Renault,170 000 - 179 999,Bon,2009,Non,3,WW au Maroc,Diesel,Manuelle
192,79 000 DH,Megane 3 coupé 1.9,"2 Mars, Casablanca",Q5,Audi,40 000 - 44 999,Excellent,2022,Oui,5,Dédouanée,Diesel,Automatique
193,,Audi Q5 S-line quattro diesel,"Aïn Chock, Casablanca",Megane,Renault,15 000 - 19 999,Excellent,2024,Oui,5,WW au Maroc,Diesel,Automatique
194,257 000 DH,Renault Megane Diesel Automatique 2024 à Marrakech,"Hay Al Hassani, Marrakech",Crossland,Opel,25 000 - 29 999,Excellent,2023,Oui,5,WW au Maroc,Diesel,Manuelle
195,163 000 DH,Opel Crossland X Diesel 2023 tt option,"Laimoune, Casablanca",Range Rover Velar,Land Rover,100 000 - 109 999,Excellent,2017,Non,5,WW au Maroc,Diesel,Automatique
196,395 000 DH,Land Rover Velar Diesel Automatique 2017,"Anfa, Casablanca",Picanto,Kia,5 000 - 9 999,Très bon,2024,,5,WW au Maroc,Essence,Automatique
197,147 000 DH,Kia Picanto Essence Automatique 2024 à Casablanca,"Sidi Bernoussi, Casablanca",Q3,Audi,95 000 - 99 999,Excellent,2021,Oui,5,Dédouanée,Diesel,Automatique
198,,Audi Q3 Sline Automatique 2021 à Fès,"Hay Saada, Fès",2008,Peugeot,40 000 - 44 999,Très bon,2021,Non,5,WW au Maroc,Diesel,Manuelle
199,229 000 DH,Peugeot 2008 Diesel Manuelle 2021 à Casablanca,"Sidi Bernoussi, Casablanca",Tiguan,Volkswagen,0 - 4 999,Neuf,2024,Oui,5,Importée neuve,Diesel,Automatique
200,,Volkswagen Tiguan Rline 200hp Full option,"Autre secteur, Rabat",Octavia,Skoda,80 000 - 84 999,Neuf,2021,Oui,5,WW au Maroc,Diesel,Automatique
201,228 000 DH,Octavia Ambition,"Autre secteur, Rabat",Clio,Renault,95 000 - 99 999,Neuf,2019,Oui,5,WW au Maroc,Diesel,Manuelle
202,113 000 DH,Renault Clio Diesel Manuelle 2019 à Fès,"Route d'Immouzere, Fès",Tucson,Hyundai,130 000 - 139 999,Excellent,2016,,5,WW au Maroc,Diesel,Automatique
203,198 500 DH,Hyundai Tucson Diesel Automatique 2016,"Ain Sebaa, Casablanca",Touareg,Volkswagen,40 000 - 44 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Automatique
204,390 000 DH,Volkswagen Touareg Diesel Automatique 2020,"2 Mars, Casablanca",Corsa,Opel,0 - 4 999,Excellent,2023,,5,WW au Maroc,Diesel,Manuelle
205,145 000 DH,opel corsa 2023,"Mont Fleuri 2, Fès",C3,Citroen,20 000 - 24 999,Bon,2023,Oui,5,WW au Maroc,Diesel,Manuelle
206,180 000 DH,CITROEN C3 AIRCROSS Diesel Manuelle 2023,"Autre secteur, Casablanca",220,Mercedes-Benz,200 000 - 249 999,Excellent,2013,Oui,,Importée neuve,Diesel,Automatique
207,,mercedes C 220 importeé neuve,"Hay Riad, Rabat",Ibiza,Seat,70 000 - 74 999,Très bon,2021,Oui,5,WW au Maroc,Essence,Manuelle
208,132 000 DH,Seat Ibiza Essence Manuelle 2021 à Marrakech,"Hay Al Hassani, Marrakech",Classe GLC,Mercedes-Benz,85 000 - 89 999,Excellent,2021,Oui,5,Dédouanée,Hybride,Automatique
209,,Mercedes-Benz Classe GLC 300 DE Amg Coupe,"Centre ville, Tanger",208,Peugeot,95 000 - 99 999,Excellent,2022,Oui,5,Dédouanée,Diesel,Manuelle
210,158 000 DH,Peugeot 208 model 2022,"Hay Massira, Marrakech",Q3,Audi,150 000 - 159 999,Neuf,2019,Oui,5,WW au Maroc,Diesel,Automatique
211,358 000 DH,Audi q5 Diesel tout option,"Route d'Immouzere, Fès",3008,Peugeot,90 000 - 94 999,Excellent,2017,Non,5,WW au Maroc,Diesel,Automatique
212,,PEUGEOT 3008,"Agdal, Rabat",Clio,Renault,0 - 4 999,Excellent,2022,Non,5,WW au Maroc,Diesel,Manuelle
213,144 000 DH,clio 5 2022,"Toute la ville, Errachidia",Touareg,Volkswagen,190 000 - 199 999,Bon,2019,Non,5,WW au Maroc,Diesel,Automatique
214,285 000 DH,VOLKSWAGEN TOUAREG Diesel Automatique 2019,"Autre secteur, Casablanca",Touran,Volkswagen,170 000 - 179 999,Excellent,2016,,5,Dédouanée,Diesel,Automatique
215,222 000 DH,Volkswagen Touran Diesel Automatique 2016 à Fès,"Agdal, Fès",CountryMan,Mini,90 000 - 94 999,Excellent,2018,Oui,5,Importée neuve,Essence,Automatique
216,,Mini Country Man Essence Automatique 2018 à Rabat,"Hay Riad, Rabat",Classe G,Mercedes-Benz,60 000 - 64 999,Neuf,2019,Oui,5,Importée neuve,Essence,Automatique
217,,MERCEDES G Brabus 700,"Route de Casablanca, Marrakech",Leon,Seat,75 000 - 79 999,Neuf,2020,Oui,5,WW au Maroc,Diesel,Manuelle
218,,Seat leon Fr 2020/12 premier man,"Safir, Tétouan",C3,Citroen,95 000 - 99 999,Neuf,2019,Non,5,WW au Maroc,Diesel,Manuelle
219,,C3 aircross shine 2019 diesel manuel,"Safir, Tétouan",Duster,Dacia,95 000 - 99 999,Très bon,2021,Non,5,WW au Maroc,Diesel,Automatique
220,159 000 DH,Dacia Duster Diesel Automatique 2021 à Casablanca,"2 Mars, Casablanca",208,Peugeot,40 000 - 44 999,Excellent,2022,Non,,WW au Maroc,Diesel,Automatique
221,,peugeot 208 Automatique 2022,"Ain Sebaa, Casablanca",Q5,Audi,90 000 - 94 999,Excellent,2023,,,Dédouanée,Diesel,Automatique
222,,Audi Q5 sportback 2023 à Casablanca,"Aïn Chock, Casablanca",Grand Cherokee,Jeep,80 000 - 84 999,Excellent,2020,,,,Diesel,Automatique
223,260 000 DH,Jeep Grand Cherokee,"Maarif, Casablanca",Express,Renault,100 000 - 109 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
224,,Renault express diesel 2022,"LABC, Safi",Carrera,Porsche,15 000 - 19 999,Excellent,2023,Oui,3,WW au Maroc,Essence,Automatique
225,,Porsche 911 carrera cabriolet,"Aïn Diab, Casablanca",Creta,Hyundai,60 000 - 64 999,Très bon,2022,Oui,5,WW au Maroc,Diesel,Automatique
226,238 000 DH,Cretaaa Outoumatiq tt opsion,"2 Mars, Casablanca",X1,BMW,160 000 - 169 999,Excellent,2018,Non,5,WW au Maroc,Diesel,Automatique
227,235 000 DH,bmw x1 Sport,"Ain Sebaa, Casablanca",XF,Jaguar,250 000 - 299 999,Bon,2010,Non,5,WW au Maroc,Diesel,Automatique
228,88 000 DH,Jaguar xf automatique,"2 Mars, Casablanca",Classe A,Mercedes-Benz,130 000 - 139 999,Excellent,2019,,,Dédouanée,Diesel,Automatique
229,,Mercedes A200 AMG,"Aïn Chock, Casablanca",Polo,Volkswagen,55 000 - 59 999,Excellent,2021,Non,5,Importée neuve,Essence,Automatique
230,280 000 DH,Volkswagen Polo R-line essence,"Wilaya, Tétouan",Clio,Renault,60 000 - 64 999,Excellent,2023,Oui,5,WW au Maroc,Essence,Automatique
231,135 000 DH,Renault Clio Essence Automatique 2023 à Marrakech,"Hay Targa, Marrakech",CountryMan,Mini,110 000 - 119 999,Excellent,2017,Non,3,Importée neuve,Essence,Automatique
232,,Mini CountryMan JOHN Cooper Works 2017,"Autre secteur, Rabat",Classe CLA,Mercedes-Benz,80 000 - 84 999,Excellent,2020,,,Dédouanée,Diesel,Automatique
233,,Renault Megane automatic,"Aïn Chock, Casablanca",A3,Audi,120 000 - 129 999,Excellent,2016,Non,5,Dédouanée,Diesel,Manuelle
234,210 000 DH,Audi~A3 top,"Toute la ville, Ouarzazate",Série 1,BMW,140 000 - 149 999,Excellent,2012,Non,5,WW au Maroc,Essence,Manuelle
235,,BMW X6 30d X-drive 2016,"Centre, Kénitra",A5,Audi,100 000 - 109 999,Excellent,2015,Non,5,WW au Maroc,Diesel,Automatique
236,235 000 DH,Audi A5 2litre 8CHV Jamais ACCIDENTÉ,"La Gironde, Casablanca",E-Pace,Jaguar,110 000 - 119 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Automatique
237,,Jaguar E-Pace Diesel Automatique 2019 à Rabat,"Massira, Rabat",190,Mercedes-Benz,350 000 - 399 999,Bon,1990,Non,5,Dédouanée,Diesel,Manuelle
238,50 000 DH,Mercedes-Benz 190 Diesel Manuelle 1990,"Toute la ville, El Kelâa des Sraghna",Range Rover Evoque,Land Rover,70 000 - 74 999,Excellent,2013,Non,5,,Diesel,Automatique
239,256 000 DH,Rare Evoque à Vendre,"Ancienne Médina, Marrakech",500,Fiat,100 000 - 109 999,Excellent,2019,Oui,3,WW au Maroc,Essence,Automatique
240,117 000 DH,Fiat 500 Essence Automatique 2019 à Tétouan,"Wilaya, Tétouan",Touareg,Volkswagen,200 000 - 249 999,Très bon,2012,Non,5,WW au Maroc,Diesel,Automatique
241,135 000 DH,Touareg diesel,"2 Mars, Casablanca",Captur,Renault,130 000 - 139 999,Excellent,2015,Oui,5,WW au Maroc,Diesel,Manuelle
242,126 000 DH,Renault Cpture intens,"Agdal, Fès",Freelander,Land Rover,200 000 - 249 999,Très bon,2012,,5,,Diesel,Automatique
243,120 000 DH,Land rover freelander 2 modèle 2012,"Oasis, Casablanca",Duster,Dacia,95 000 - 99 999,Très bon,2021,Non,5,WW au Maroc,Diesel,Automatique
244,159 000 DH,Dacia Duster Diesel Automatique 2021 à Casablanca,"2 Mars, Casablanca",208,Peugeot,40 000 - 44 999,Excellent,2022,Non,,WW au Maroc,Diesel,Automatique
245,,peugeot 208 Automatique 2022,"Ain Sebaa, Casablanca",Q5,Audi,90 000 - 94 999,Excellent,2023,,,Dédouanée,Diesel,Automatique
246,,Audi Q5 sportback 2023 à Casablanca,"Aïn Chock, Casablanca",Grand Cherokee,Jeep,80 000 - 84 999,Excellent,2020,,,,Diesel,Automatique
247,260 000 DH,Jeep Grand Cherokee,"Maarif, Casablanca",Express,Renault,100 000 - 109 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Manuelle
248,,Renault express diesel 2022,"LABC, Safi",Carrera,Porsche,15 000 - 19 999,Excellent,2023,Oui,3,WW au Maroc,Essence,Automatique
249,,Porsche 911 carrera cabriolet,"Aïn Diab, Casablanca",Creta,Hyundai,60 000 - 64 999,Très bon,2022,Oui,5,WW au Maroc,Diesel,Automatique
250,238 000 DH,Cretaaa Outoumatiq tt opsion,"2 Mars, Casablanca",X1,BMW,160 000 - 169 999,Excellent,2018,Non,5,WW au Maroc,Diesel,Automatique
251,235 000 DH,bmw x1 Sport,"Ain Sebaa, Casablanca",XF,Jaguar,250 000 - 299 999,Bon,2010,Non,5,WW au Maroc,Diesel,Automatique
252,88 000 DH,Jaguar xf automatique,"2 Mars, Casablanca",Classe A,Mercedes-Benz,130 000 - 139 999,Excellent,2019,,,Dédouanée,Diesel,Automatique
253,,Mercedes A200 AMG,"Aïn Chock, Casablanca",Polo,Volkswagen,55 000 - 59 999,Excellent,2021,Non,5,Importée neuve,Essence,Automatique
254,280 000 DH,Volkswagen Polo R-line essence,"Wilaya, Tétouan",Clio,Renault,60 000 - 64 999,Excellent,2023,Oui,5,WW au Maroc,Essence,Automatique
255,135 000 DH,Renault Clio Essence Automatique 2023 à Marrakech,"Hay Targa, Marrakech",CountryMan,Mini,110 000 - 119 999,Excellent,2017,Non,3,Importée neuve,Essence,Automatique
256,,Mini CountryMan JOHN Cooper Works 2017,"Autre secteur, Rabat",Classe CLA,Mercedes-Benz,80 000 - 84 999,Excellent,2020,,,Dédouanée,Diesel,Automatique
257,,Renault Megane automatic,"Aïn Chock, Casablanca",A3,Audi,120 000 - 129 999,Excellent,2016,Non,5,Dédouanée,Diesel,Manuelle
258,210 000 DH,Audi~A3 top,"Toute la ville, Ouarzazate",Série 1,BMW,140 000 - 149 999,Excellent,2012,Non,5,WW au Maroc,Essence,Manuelle
259,,BMW X6 30d X-drive 2016,"Centre, Kénitra",A5,Audi,100 000 - 109 999,Excellent,2015,Non,5,WW au Maroc,Diesel,Automatique
260,235 000 DH,Audi A5 2litre 8CHV Jamais ACCIDENTÉ,"La Gironde, Casablanca",E-Pace,Jaguar,110 000 - 119 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Automatique
261,,Jaguar E-Pace Diesel Automatique 2019 à Rabat,"Massira, Rabat",190,Mercedes-Benz,350 000 - 399 999,Bon,1990,Non,5,Dédouanée,Diesel,Manuelle
262,50 000 DH,Mercedes-Benz 190 Diesel Manuelle 1990,"Toute la ville, El Kelâa des Sraghna",Range Rover Evoque,Land Rover,70 000 - 74 999,Excellent,2013,Non,5,,Diesel,Automatique
263,256 000 DH,Rare Evoque à Vendre,"Ancienne Médina, Marrakech",500,Fiat,100 000 - 109 999,Excellent,2019,Oui,3,WW au Maroc,Essence,Automatique
264,117 000 DH,Fiat 500 Essence Automatique 2019 à Tétouan,"Wilaya, Tétouan",Touareg,Volkswagen,200 000 - 249 999,Très bon,2012,Non,5,WW au Maroc,Diesel,Automatique
265,135 000 DH,Touareg diesel,"2 Mars, Casablanca",Captur,Renault,130 000 - 139 999,Excellent,2015,Oui,5,WW au Maroc,Diesel,Manuelle
266,126 000 DH,Renault Cpture intens,"Agdal, Fès",Freelander,Land Rover,200 000 - 249 999,Très bon,2012,,5,,Diesel,Automatique
267,120 000 DH,Land rover freelander 2 modèle 2012,"Oasis, Casablanca",Touran,Volkswagen,160 000 - 169 999,Excellent,2015,Non,5,Dédouanée,Diesel,Automatique
268,190 000 DH,Touran Serié Cup full options,"Ziana, Tétouan",Tiguan,Volkswagen,200 000 - 249 999,Excellent,2019,Oui,3,Dédouanée,Diesel,Automatique
269,,Volkswagen Tiguan Diesel Automatique 2019,"Aïn Chock, Casablanca",Q3,Audi,170 000 - 179 999,Excellent,2019,,,Dédouanée,Diesel,Automatique
270,,Audi Q3 Diesel Automatique 2019 à Casablanca,"Aïn Chock, Casablanca",Juke,Nissan,40 000 - 44 999,Excellent,2022,Oui,5,WW au Maroc,Essence,Manuelle
271,,Nissan Juke Essence Manuelle 2022 à Rabat,"Massira, Rabat",Qashqai,Nissan,95 000 - 99 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Manuelle
272,,dacia logan,"Iziki, Marrakech",Touareg,Volkswagen,60 000 - 64 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Automatique
273,360 000 DH,TOUAREG 60000 km,"Mers Sultan, Casablanca",Caddy,Volkswagen,130 000 - 139 999,Excellent,2016,Oui,5,WW au Maroc,Diesel,Manuelle
274,,Volkswagen Caddy Diesel Manuelle 2016 à Agadir,"Av Mokawama, Agadir",Classe CLS,Mercedes-Benz,200 000 - 249 999,Neuf,2011,,,Importée neuve,Diesel,Automatique
275,,Mercedes-Benz Classe CLS Diesel Automatique 2011,"Hay el Fath, Rabat",Série 4,BMW,20 000 - 24 999,Excellent,2024,Oui,5,Importée neuve,Diesel,Automatique
276,,BMW Série 4 Pack M,"Californie, Casablanca",Clio,Renault,150 000 - 159 999,Excellent,2016,Oui,5,WW au Maroc,Diesel,Automatique
277,,Renault Clio 4 automatique 2016,"Av Mokawama, Agadir",Touareg,Volkswagen,150 000 - 159 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Automatique
278,,Nissan qashqai,"Al Qods, Casablanca",Caddy,Volkswagen,200 000 - 249 999,Très bon,2008,Non,5,Dédouanée,Diesel,Manuelle
279,,VOLKSWAGEN CADDY M2008 D2012,"Zerhounia, Meknès",Avenger,Jeep,5 000 - 9 999,Excellent,2024,Oui,5,WW au Maroc,Hybride,Automatique
280,285 000 DH,JEEP AVENGER 08/2024 FULL OPTION,"Issil, Marrakech",Macan,Porsche,90 000 - 94 999,Excellent,2021,Oui,5,WW au Maroc,Essence,Automatique
281,,Porshe Mancan S 2021,"Hay Targa, Marrakech",Tiguan,Volkswagen,90 000 - 94 999,Neuf,2021,Oui,5,WW au Maroc,Diesel,Automatique
282,325 000 DH,tiguan model 2021,"Oulfa, Casablanca",A5,Audi,100 000 - 109 999,Excellent,2010,Non,5,Dédouanée,Essence,Automatique
283,150 000 DH,S5 V6T B8 3L TFSI STAGE2,"Sidi Ghanem, Marrakech",Karoq,Skoda,120 000 - 129 999,Excellent,2020,Oui,5,Dédouanée,Diesel,Automatique
284,,Skoda Karoq Diesel Automatique 2020 à Settat,"Toute la ville, Settat",Sandero,Dacia,90 000 - 94 999,Excellent,2022,Oui,5,WW au Maroc,Essence,Automatique
285,125 000 DH,Dacia Sandero Stepway automatique,"Agdal, Fès",Q7,Audi,200 000 - 249 999,Très bon,2009,Non,5,Dédouanée,Diesel,Automatique
286,,Audi Q7 Diesel Automatique 2009 à Rabat,"Hay el Fath, Rabat",Série 5,BMW,120 000 - 129 999,Excellent,2017,Oui,5,WW au Maroc,Diesel,Automatique
287,,BMW Série 530d pack M,"Hay Riad, Rabat",XC60,Volvo,200 000 - 249 999,Excellent,2018,Non,5,WW au Maroc,Diesel,Automatique
288,270 000 DH,"Volvo XC60 – Élégance, Sécurité et Performance","Hay Salam, Salé",Caddy,Volkswagen,180 000 - 189 999,Excellent,2018,,,Dédouanée,Diesel,Automatique
289,,Volkswagen Caddy Diesel Autom,"Aïn Chock, Casablanca",208,Peugeot,90 000 - 94 999,Excellent,2023,Oui,,,Diesel,Manuelle
290,,Peugeot 208 allure 2023,"Massira 2, Marrakech",Karoq,Skoda,130 000 - 139 999,Neuf,2020,Non,5,Dédouanée,Diesel,Automatique
291,,Skoda Karoq Diesel Automatique 2020 Ded 02/2025,"Abattoirs, Agadir",Sandero,Dacia,140 000 - 149 999,Très bon,2022,Oui,5,WW au Maroc,Diesel,Manuelle
292,137 000 DH,DACIA SANDERO STEPWAY TT OPTIONS,"Centre, Kénitra",Sandero,Dacia,200 000 - 249 999,,2014,Non,5,WW au Maroc,Diesel,Manuelle
293,113 000 DH,Renault Clio Diesel Manuelle 2017 à Béni Mellal,"Toute la ville, Béni Mellal",Clio,Renault,100 000 - 109 999,Très bon,2017,,5,WW au Maroc,Diesel,Manuelle
294,60 000 DH,207 essnace,"El Qaria, Salé",207,Peugeot,250 000 - 299 999,Très bon,2008,Non,5,WW au Maroc,Essence,Manuelle
295,78 000 DH,Volkswagen Polo Essence Manuelle 2011 à Tanger,"Centre ville, Tanger",Polo,Volkswagen,20 000 - 24 999,Très bon,2011,Non,5,WW au Maroc,Essence,Manuelle
296,112 000 DH,dacia Duster en très bon état,"Azzouzia, Marrakech",Duster,Dacia,170 000 - 179 999,Très bon,2010,,,,Diesel,Manuelle
297,70 000 DH,Ssangyoung corando diesel Reprise,"Tilila, Agadir",Korando,Ssangyong,170 000 - 179 999,Bon,2011,Non,5,WW au Maroc,Diesel,Manuelle
298,,Porsche Macan S Diesel Automatique,"Hay Chrifa, Casablanca",Classe C,Mercedes-Benz,20 000 - 24 999,Excellent,2021,Oui,3,Importée neuve,Diesel,Automatique
299,,Mercedes-Benz Classe C Cabriolet Diesel 2016,"Anfa, Casablanca",Tucson,Hyundai,70 000 - 74 999,Excellent,2023,,5,WW au Maroc,Hybride,Automatique
300,335 000 DH,Hyundai Tucson Hybride Automatique 2023,"Ain Sebaa, Casablanca",Dokker,Dacia,75 000 - 79 999,Excellent,2020,Oui,,WW au Maroc,Diesel,Manuelle
301,155 000 DH,dacia doker,"Agdal, Fès",Arteon,Volkswagen,170 000 - 179 999,Très bon,2019,Oui,5,WW au Maroc,Diesel,Automatique
302,235 000 DH,Volkswagen Arteon business 2019,"Centre, El Jadida",Accent,Hyundai,140 000 - 149 999,Excellent,2017,Non,5,WW au Maroc,Diesel,Manuelle
303,112 000 DH,hyundai accent diesel,"Agdal, Fès",Range Rover Sport,Land Rover,130 000 - 139 999,Excellent,2019,Non,5,WW au Maroc,Diesel,Automatique
304,,ford kuga 2021,"Aïn Chock, Casablanca",Kuga,Ford,90 000 - 94 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Automatique
305,390 000 DH,Jeep wrangler,"Aïn Diab, Casablanca",Wrangler,Jeep,100 000 - 109 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Automatique
306,179 000 DH,Jeep Renegade Diesel Automatique 2022 à Marrakech,"Hay Targa, Marrakech",Renegade,Jeep,100 000 - 109 999,Excellent,2022,Oui,5,WW au Maroc,Diesel,Automatique
307,70 000 DH,kangoo D65 Mazout Modèle 2008,"Tilila, Agadir",Kangoo,Renault,190 000 - 199 999,Bon,2008,Non,5,WW au Maroc,Diesel,Manuelle
308,,Mercedes-Benz Classe GLE 300d,"Hay Riad, Rabat",Classe GLE,Mercedes-Benz,60 000 - 64 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Automatique
309,,Audi Q5 Automatique,"Ain Sebaa, Casablanca",Q5,Audi,350 000 - 399 999,Excellent,2009,,5,,Diesel,Automatique
310,,Kia Picanto Essence Manuelle 2021 à El Jadida,"Jawhara, El Jadida",Picanto,Kia,90 000 - 94 999,Excellent,2021,Oui,5,WW au Maroc,Essence,Manuelle
